"Statistic Label","Quarter","State","UNIT","VALUE"
"GDP at Constant Market Prices","2019Q4","State","Euro Million","104858"
"GDP at Constant Market Prices","2020Q1","State","Euro Million","103998"
"GDP at Constant Market Prices","2020Q2","State","Euro Million","99800"
"GDP at Constant Market Prices","2020Q3","State","Euro Million","116211"
"GDP at Constant Market Prices","2020Q4","State","Euro Million","110731"
"GDP at Constant Market Prices","2021Q1","State","Euro Million","118884"
"GDP at Constant Market Prices","2021Q2","State","Euro Million","122488"
"GDP at Constant Market Prices","2021Q3","State","Euro Million","132215"
"GDP at Constant Market Prices","2021Q4","State","Euro Million","127184"
"GDP at Constant Market Prices","2022Q1","State","Euro Million","127670"
"GDP at Constant Market Prices","2022Q2","State","Euro Million","131793"
"GDP at Constant Market Prices","2022Q3","State","Euro Million","141833"
"GDP at Constant Market Prices","2022Q4","State","Euro Million","137088"
"GDP at Constant Market Prices","2023Q1","State","Euro Million","130787"
"GDP at Constant Market Prices","2023Q2","State","Euro Million","130697"
"GDP at Constant Market Prices","2023Q3","State","Euro Million","135161"
"GDP at Constant Market Prices","2023Q4","State","Euro Million","128084"
"GDP at Constant Market Prices","2024Q1","State","Euro Million","127278"
"GDP at Constant Market Prices","2024Q2","State","Euro Million","127631"
"GDP at Constant Market Prices","2024Q3","State","Euro Million","140564"
"GDP at Constant Market Prices","2024Q4","State","Euro Million","142896"
"GDP at Constant Market Prices","2025Q1","State","Euro Million","152651"
"GDP at Constant Market Prices","2025Q2","State","Euro Million","149405"
