date,actual,predicted
2021-09-30,0.07941186075370643,0.057502392223168164
2021-12-31,-0.038051658283855816,0.017320835293033812
2022-03-31,0.0038212353755189277,0.057502392223168164
2022-06-30,0.03229419597399552,0.057502392223168164
2022-09-30,0.07618007026169837,0.057502392223168164
2022-12-31,-0.03345483773169855,0.020541509766996726
2023-03-31,-0.045963176937441674,0.03083137480963718
2023-06-30,-0.0006881417877924179,0.039216451333518164
2023-09-30,0.03415533638874657,0.039216451333518164
2023-12-31,-0.05235977833842598,-0.00872280551025132
2024-03-31,-0.00629274538584057,0.014695937242967468
2024-06-30,0.0027734565282295787,0.014325404677395081
2024-09-30,0.10133118129608021,0.009392726907804964
2024-12-31,0.01659030761788216,-0.04359464716813547
2025-03-31,0.06826643153062362,-0.018099944210559597
